player,team,season,matches,innings,not_outs,runs,high_score,balls,strike_rate,batting_average,50s,100s,4s,6s,catches,stumpings
CH Gayle,RCB,2017,9,9,0,200,77,163,122.7,22.22,1,0,15,14,2,0
CH Gayle,KXIP,2018,11,11,2,368,104*,252,146.03,40.89,3,1,30,27,2,0
CH Gayle,KXIP,2019,13,13,1,490,99*,319,153.61,40.83,4,0,45,34,0,0
CH Gayle,KXIP,2020,7,7,0,288,99,210,137.14,41.14,3,0,15,23,1,0
CH Gayle,PBKS,2021,10,10,1,193,46,154,125.32,21.44,0,0,21,8,3,0
CH Gayle,KKR,2009,7,7,1,171,44*,143,119.58,28.5,0,0,15,10,5,0
CH Gayle,KKR,2010,9,9,0,292,88,184,158.7,32.44,2,0,30,16,2,0
CH Gayle,RCB,2011,12,12,3,608,107,332,183.13,67.56,3,2,57,44,2,0
CH Gayle,RCB,2012,14,14,2,733,128*,456,160.75,61.08,7,1,46,59,2,0
CH Gayle,RCB,2013,16,16,4,708,175*,453,156.29,59.0,4,1,57,51,3,0
CH Gayle,RCB,2014,9,9,0,196,46,184,106.52,21.78,0,0,18,12,2,0
CH Gayle,RCB,2015,14,14,2,491,117,333,147.45,40.92,2,1,39,38,1,0
CH Gayle,RCB,2016,10,10,0,227,76,150,151.33,22.7,2,0,17,21,4,0
Mandeep Singh,RCB,2017,11,10,0,188,52,177,106.21,18.8,1,0,21,4,6,0
Mandeep Singh,RCB,2018,14,13,3,252,47*,186,135.48,25.2,0,0,16,11,4,0
Mandeep Singh,KXIP,2019,13,12,8,165,33*,120,137.5,41.25,0,0,10,4,4,0
Mandeep Singh,KXIP,2020,7,7,1,130,66*,109,119.27,21.67,1,0,10,4,1,0
Mandeep Singh,PBKS,2021,1,1,0,15,15,14,107.14,15.0,0,0,2,0,1,0
Mandeep Singh,DC,2022,3,3,0,18,18,23,78.26,6.0,0,0,4,0,1,0
Mandeep Singh,KKR,2023,3,3,0,14,12,16,87.5,4.67,0,0,0,1,0,0
Mandeep Singh,KKR,2010,3,2,0,4,4,11,36.36,2.0,0,0,1,0,0,0
Mandeep Singh,KXIP,2011,6,5,1,47,15*,41,114.63,11.75,0,0,4,1,1,0
Mandeep Singh,KXIP,2012,16,16,0,432,75,342,126.32,27.0,2,0,53,7,5,0
Mandeep Singh,KXIP,2013,16,14,1,260,77*,223,116.59,20.0,1,0,36,0,6,0
Mandeep Singh,KXIP,2014,3,3,0,24,21,26,92.31,8.0,0,0,2,0,1,0
Mandeep Singh,RCB,2015,14,9,2,157,54*,100,157.0,22.43,1,0,17,6,7,0
Mandeep Singh,RCB,2016,1,0,-,0,-,0,-,-,0,0,0,0,1,0
TM Head,RCB,2017,7,7,2,151,75*,108,139.81,30.2,1,0,9,6,3,0
TM Head,SRH,2024,15,15,1,567,102,296,191.55,40.5,4,1,64,32,0,0
TM Head,SRH,2025,13,12,0,374,76,230,162.61,31.17,3,0,50,15,3,0
TM Head,RCB,2016,3,3,1,54,37,40,135.0,27.0,0,0,3,2,0,0
KM Jadhav,RCB,2017,13,13,1,267,69,186,143.55,22.25,1,0,25,10,7,3
KM Jadhav,CSK,2018,1,1,1,24,24*,22,109.09,-,0,0,1,2,0,0
KM Jadhav,CSK,2019,14,12,3,162,58,169,95.86,18.0,1,0,19,3,4,0
KM Jadhav,CSK,2020,8,5,2,62,26,66,93.94,20.67,0,0,7,0,1,0
KM Jadhav,SRH,2021,6,5,1,55,19,52,105.77,13.75,0,0,2,2,2,0
KM Jadhav,RCB,2023,2,1,1,12,12*,10,120.0,-,0,0,1,0,1,0
KM Jadhav,DD,2010,5,5,2,76,50*,56,135.71,25.33,1,0,7,2,0,0
KM Jadhav,KTK,2011,6,4,1,18,12,23,78.26,6.0,0,0,1,0,2,0
KM Jadhav,DD,2013,12,10,3,152,31,124,122.58,21.71,0,0,8,5,4,2
KM Jadhav,DD,2014,10,10,5,149,37,101,147.52,29.8,0,0,13,7,3,0
KM Jadhav,DD,2015,14,12,4,189,63*,140,135.0,23.62,1,0,16,7,6,2
KM Jadhav,RCB,2016,4,3,3,42,25*,32,131.25,-,0,0,2,2,1,0
SR Watson,RCB,2017,8,7,1,71,24,78,91.03,11.83,0,0,6,1,2,0
SR Watson,CSK,2018,15,15,1,555,117*,359,154.6,39.64,2,2,44,35,3,0
SR Watson,CSK,2019,17,17,0,398,96,312,127.56,23.41,3,0,42,20,6,0
