player,team,season,matches,innings,balls_bowled,runs_conceded,wickets,bowling_average,economy_rate,strike_rate,3w_hauls,4w_hauls,5w_hauls,best_bowling
CH Gayle,RCB,2017,9,0,0,0,0,-,-,-,0,0,0,-
CH Gayle,KXIP,2018,11,0,0,0,0,-,-,-,0,0,0,-
CH Gayle,KXIP,2019,13,0,0,0,0,-,-,-,0,0,0,-
CH Gayle,KXIP,2020,7,1,5,5,0,-,6.0,-,0,0,0,-
CH Gayle,PBKS,2021,10,0,0,0,0,-,-,-,0,0,0,-
CH Gayle,KKR,2009,7,7,113,144,1,144.0,7.65,113.0,0,0,0,BB: 1/21
CH Gayle,KKR,2010,9,6,96,152,4,38.0,9.5,24.0,0,0,0,BB: 1/9
CH Gayle,RCB,2011,12,12,216,244,8,30.5,6.78,27.0,1,0,0,BB: 3/21
CH Gayle,RCB,2012,14,3,28,66,0,-,14.14,-,0,0,0,-
CH Gayle,RCB,2013,16,4,24,40,3,13.33,10.0,8.0,0,0,0,BB: 2/5
CH Gayle,RCB,2014,9,0,0,0,0,-,-,-,0,0,0,-
CH Gayle,RCB,2015,14,1,12,15,0,-,7.5,-,0,0,0,-
CH Gayle,RCB,2016,10,4,60,63,2,31.5,6.3,30.0,0,0,0,BB: 2/11
Mandeep Singh,RCB,2017,11,0,0,0,0,-,-,-,0,0,0,-
Mandeep Singh,RCB,2018,14,0,0,0,0,-,-,-,0,0,0,-
Mandeep Singh,KXIP,2019,13,2,12,26,0,-,13.0,-,0,0,0,-
Mandeep Singh,KXIP,2020,7,0,0,0,0,-,-,-,0,0,0,-
Mandeep Singh,PBKS,2021,1,0,0,0,0,-,-,-,0,0,0,-
Mandeep Singh,DC,2022,3,0,0,0,0,-,-,-,0,0,0,-
Mandeep Singh,KKR,2023,3,0,0,0,0,-,-,-,0,0,0,-
Mandeep Singh,KKR,2010,3,0,0,0,0,-,-,-,0,0,0,-
Mandeep Singh,KXIP,2011,6,0,0,0,0,-,-,-,0,0,0,-
Mandeep Singh,KXIP,2012,16,0,0,0,0,-,-,-,0,0,0,-
Mandeep Singh,KXIP,2013,16,0,0,0,0,-,-,-,0,0,0,-
Mandeep Singh,KXIP,2014,3,0,0,0,0,-,-,-,0,0,0,-
Mandeep Singh,RCB,2015,14,0,0,0,0,-,-,-,0,0,0,-
Mandeep Singh,RCB,2016,1,0,0,0,0,-,-,-,0,0,0,-
TM Head,RCB,2017,7,5,48,81,2,40.5,10.12,24.0,0,0,0,BB: 2/30
TM Head,SRH,2024,15,1,10,32,0,-,19.2,-,0,0,0,-
TM Head,SRH,2025,13,0,0,0,0,-,-,-,0,0,0,-
TM Head,RCB,2016,3,0,0,0,0,-,-,-,0,0,0,-
KM Jadhav,RCB,2017,13,0,0,0,0,-,-,-,0,0,0,-
KM Jadhav,CSK,2018,1,0,0,0,0,-,-,-,0,0,0,-
KM Jadhav,CSK,2019,14,0,0,0,0,-,-,-,0,0,0,-
KM Jadhav,CSK,2020,8,0,0,0,0,-,-,-,0,0,0,-
KM Jadhav,SRH,2021,6,0,0,0,0,-,-,-,0,0,0,-
KM Jadhav,RCB,2023,2,0,0,0,0,-,-,-,0,0,0,-
KM Jadhav,DD,2010,5,0,0,0,0,-,-,-,0,0,0,-
KM Jadhav,KTK,2011,6,0,0,0,0,-,-,-,0,0,0,-
KM Jadhav,DD,2013,12,0,0,0,0,-,-,-,0,0,0,-
KM Jadhav,DD,2014,10,0,0,0,0,-,-,-,0,0,0,-
KM Jadhav,DD,2015,14,0,0,0,0,-,-,-,0,0,0,-
KM Jadhav,RCB,2016,4,0,0,0,0,-,-,-,0,0,0,-
SR Watson,RCB,2017,8,8,161,245,5,49.0,9.13,32.2,0,0,0,BB: 1/16
SR Watson,CSK,2018,15,11,168,251,6,41.83,8.96,28.0,0,0,0,BB: 2/29
SR Watson,CSK,2019,17,0,0,0,0,-,-,-,0,0,0,-
SR Watson,CSK,2020,11,0,0,0,0,-,-,-,0,0,0,-
SR Watson,RR,2008,15,15,325,383,17,22.53,7.07,19.12,1,0,0,BB: 3/10
SR Watson,RR,2010,6,6,132,184,6,30.67,8.36,22.0,1,0,0,BB: 3/37
SR Watson,RR,2011,11,10,216,241,6,40.17,6.69,36.0,1,0,0,BB: 3/19
SR Watson,RR,2012,7,7,138,161,6,26.83,7.0,23.0,0,0,0,BB: 2/19
SR Watson,RR,2013,16,13,250,298,13,22.92,7.15,19.23,1,0,0,BB: 3/22
SR Watson,RR,2014,13,9,126,165,7,23.57,7.86,18.0,2,0,0,BB: 3/13
SR Watson,RR,2015,10,10,174,269,6,44.83,9.28,29.0,0,0,0,BB: 2/36
SR Watson,RCB,2016,16,16,339,485,20,24.25,8.58,16.95,1,1,0,BB: 4/29
Sachin Baby,RCB,2017,3,0,0,0,0,-,-,-,0,0,0,-
Sachin Baby,RCB,2021,1,0,0,0,0,-,-,-,0,0,0,-
Sachin Baby,SRH,2025,1,0,0,0,0,-,-,-,0,0,0,-
Sachin Baby,RR,2013,4,0,0,0,0,-,-,-,0,0,0,-
Sachin Baby,RCB,2016,11,2,10,8,2,4.0,4.8,5.0,0,0,0,BB: 2/4
STR Binny,RCB,2017,8,4,36,50,4,12.5,8.33,9.0,0,0,0,BB: 1/9
STR Binny,RR,2018,7,1,12,33,0,-,16.5,-,0,0,0,-
STR Binny,RR,2019,8,5,42,44,1,44.0,6.29,42.0,0,0,0,BB: 1/19
STR Binny,MI,2010,1,1,6,9,0,-,9.0,-,0,0,0,-
STR Binny,RR,2011,6,3,24,44,0,-,11.0,-,0,0,0,-
STR Binny,RR,2012,8,6,60,78,3,26.0,7.8,20.0,0,0,0,BB: 1/8
STR Binny,RR,2013,17,14,144,162,6,27.0,6.75,24.0,0,0,0,BB: 2/14
STR Binny,RR,2014,13,8,54,64,3,21.33,7.11,18.0,0,0,0,BB: 1/1
STR Binny,RR,2015,13,10,114,140,5,28.0,7.37,22.8,0,0,0,BB: 2/8
STR Binny,RCB,2016,14,11,102,134,1,134.0,7.88,102.0,0,0,0,BB: 1/17
S Aravind,RCB,2017,10,10,183,275,5,55.0,9.02,36.6,0,0,0,BB: 2/29
S Aravind,RCB,2011,13,13,276,368,21,17.52,8.0,13.14,1,1,0,BB: 4/14
S Aravind,RCB,2012,1,1,18,48,0,-,16.0,-,0,0,0,-
S Aravind,RCB,2015,5,5,108,132,8,16.5,7.33,13.5,0,1,0,BB: 4/27
S Aravind,RCB,2016,9,9,175,216,11,19.64,7.41,15.91,0,0,0,BB: 2/18
TS Mills,RCB,2017,5,5,107,153,5,30.6,8.58,21.4,0,0,0,BB: 2/31
TS Mills,MI,2022,5,5,102,190,6,31.67,11.18,17.0,1,0,0,BB: 3/35
YS Chahal,RCB,2017,13,13,261,333,14,23.79,7.66,18.64,2,0,0,BB: 3/16
YS Chahal,RCB,2018,14,14,300,363,12,30.25,7.26,25.0,0,0,0,BB: 2/22
YS Chahal,RCB,2019,14,14,296,386,18,21.44,7.82,16.44,0,1,0,BB: 4/38
YS Chahal,RCB,2020,15,15,343,405,21,19.29,7.08,16.33,2,0,0,BB: 3/18
YS Chahal,RCB,2021,15,15,318,374,18,20.78,7.06,17.67,2,0,0,BB: 3/11
YS Chahal,RR,2022,17,17,408,527,27,19.52,7.75,15.11,2,1,1,BB: 5/40
YS Chahal,RR,2023,14,14,317,432,21,20.57,8.18,15.1,1,3,0,BB: 4/17
YS Chahal,RR,2024,15,15,348,546,18,30.33,9.41,19.33,1,0,0,BB: 3/11
YS Chahal,PBKS,2025,15,13,270,430,16,26.88,9.56,16.88,0,2,0,BB: 4/28
YS Chahal,MI,2013,1,1,24,34,0,-,8.5,-,0,0,0,-
YS Chahal,RCB,2014,14,14,330,386,12,32.17,7.02,27.5,0,0,0,BB: 2/17
YS Chahal,RCB,2015,15,14,281,415,23,18.04,8.86,12.22,1,0,0,BB: 3/40
YS Chahal,RCB,2016,13,13,295,401,21,19.1,8.16,14.05,2,1,0,BB: 4/25
A Choudhary,RCB,2017,5,5,101,144,5,28.8,8.55,20.2,0,0,0,BB: 2/17
DA Warner,SRH,2017,14,0,0,0,0,-,-,-,0,0,0,-
DA Warner,SRH,2019,12,0,0,0,0,-,-,-,0,0,0,-
DA Warner,SRH,2020,16,1,1,2,0,-,12.0,-,0,0,0,-
DA Warner,SRH,2021,8,0,0,0,0,-,-,-,0,0,0,-
