player,team,matches,innings,not_outs,runs,balls,batting_average,strike_rate,high_score,50s,100s,4s,6s,catches,stumpings
A Ashish Reddy,"SRH, DEC",31,23,8.0,280,193,18.67,145.08,36*,0,0,16,15,8,0
A Badoni,LSG,56,46,10.0,963,695,26.75,138.56,74,6,0,73,38,17,0
A Chandila,RR,12,2,2.0,4,7,0.0,57.14,4*,0,0,0,0,2,0
A Chopra,KKR,7,6,0.0,53,71,8.83,74.65,24,0,0,7,0,2,0
A Choudhary,RCB,5,3,2.0,25,20,25.0,125.0,15*,0,0,1,1,0,0
A Dananjaya,MI,1,1,1.0,4,5,0.0,80.0,4*,0,0,0,0,0,0
A Flintoff,CSK,3,3,1.0,62,53,31.0,116.98,24,0,0,5,2,3,0
A Kamboj,"MI, CSK",11,6,4.0,16,14,8.0,114.29,5*,0,0,2,0,4,0
A Kumble,RCB,42,17,14.0,35,47,11.67,74.47,8,0,0,3,0,9,0
A Manohar,"SRH, GT",27,20,1.0,292,235,15.37,124.26,43,0,0,23,14,17,0
A Mhatre,CSK,7,7,0.0,240,127,34.29,188.98,94,1,0,31,11,4,0
A Mishra,"DD, DEC, LSG, SRH, DC",162,57,25.0,381,419,11.91,90.93,31,0,0,31,5,19,0
A Mithun,RCB,16,8,3.0,34,26,6.8,130.77,11,0,0,4,1,7,0
A Mukund,"RCB, CSK",3,2,0.0,19,22,9.5,86.36,19,0,0,1,0,3,0
A Nehra,"DD, PWI, MI, CSK, SRH",88,22,15.0,41,62,5.86,66.13,22*,0,0,3,1,17,0
A Nel,MI,1,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
A Nortje,"KKR, DC",48,17,11.0,49,49,8.17,100.0,23*,0,0,6,0,10,0
A Raghuvanshi,KKR,22,18,2.0,463,320,28.94,144.69,54,2,0,46,16,6,0
A Singh,RR,23,5,1.0,2,10,0.5,20.0,1*,0,0,0,0,1,0
A Symonds,"DEC, MI",39,36,9.0,974,750,36.07,129.87,117*,5,1,74,41,20,0
A Tomar,KKR,1,1,0.0,4,8,4.0,50.0,4,0,0,1,0,0,0
A Uniyal,RR,2,2,1.0,4,7,4.0,57.14,4*,0,0,0,0,0,0
A Zampa,"SRH, RPS, RR, RCB",22,5,0.0,15,24,3.0,62.5,7,0,0,1,0,1,0
AA Bilakhia,DEC,7,7,2.0,69,85,13.8,81.18,22,0,0,5,0,1,0
AA Chavan,RR,13,3,1.0,12,11,6.0,109.09,7*,0,0,2,0,3,0
AA Jhunjhunwala,"DEC, PWI, RR",21,16,3.0,217,210,16.69,103.33,53*,1,0,19,5,10,0
AA Kazi,RCB,1,0,-,0,0,-,-,-,0,0,0,0,0,0
AA Kulkarni,LSG,2,2,0.0,9,8,4.5,112.5,9,0,0,2,0,0,0
AA Noffke,RCB,1,1,0.0,9,10,9.0,90.0,9,0,0,1,0,0,0
AB Agarkar,"DD, KKR",42,22,12.0,179,154,17.9,116.23,39,0,0,13,5,4,0
AB Barath,KXIP,3,3,1.0,42,42,21.0,100.0,33,0,0,5,1,0,0
AB Dinda,"DD, PWI, RPS, KKR, RCB",78,17,7.0,26,48,2.6,54.17,7,0,0,2,0,7,0
AB McDonald,"DD, RCB",10,9,4.0,123,100,24.6,123.0,33*,0,0,9,4,0,0
AB de Villiers,"DD, RCB",183,170,40.0,5162,3403,39.71,151.69,133*,40,3,413,251,120,8
AC Blizzard,MI,7,7,0.0,120,90,17.14,133.33,51,1,0,21,2,4,0
AC Gilchrist,"DEC, KXIP",80,80,4.0,2069,1495,27.22,138.39,109*,11,2,239,92,51,16
AC Thomas,PWI,15,4,2.0,20,19,10.0,105.26,12,0,0,1,1,3,0
AC Voges,RR,9,7,3.0,181,143,45.25,126.57,45*,0,0,15,3,1,0
AD Hales,SRH,6,6,0.0,148,118,24.67,125.42,45,0,0,13,6,2,0
AD Mascarenhas,"RR, KXIP",13,11,2.0,79,78,8.78,101.28,27,0,0,5,1,2,0
AD Mathews,"DD, KKR, PWI",49,42,11.0,724,575,23.35,125.91,65*,1,0,44,29,19,0
AD Nath,"RCB, KXIP, GL",14,10,0.0,90,98,9.0,91.84,24,0,0,7,2,2,0
AD Russell,"DD, KKR",139,115,21.0,2651,1522,28.2,174.18,88*,12,0,186,223,36,0
AF Milne,"MI, RCB, CSK",10,6,2.0,23,29,5.75,79.31,15,0,0,0,1,7,0
AG Murtaza,"PWI, MI",12,3,2.0,10,14,10.0,71.43,5,0,0,1,0,3,0
AG Paunikar,RR,5,5,0.0,49,58,9.8,84.48,20,0,0,9,0,1,0
AJ Finch,"DD, PWI, RR, MI, KXIP, SRH, KKR, RCB, GL",92,90,6.0,2091,1631,24.89,128.2,88*,15,0,214,78,28,0
AJ Hosein,SRH,1,1,1.0,16,10,0.0,160.0,16*,0,0,1,1,0,0
AJ Turner,"RR, LSG",6,6,1.0,24,28,4.8,85.71,16,0,0,0,2,0,0
AJ Tye,"LSG, RR, KXIP, GL",30,13,4.0,91,76,10.11,119.74,25,0,0,6,5,7,0
AK Markram,"SRH, LSG, PBKS",57,55,9.0,1440,1066,31.3,135.08,68*,10,0,111,57,31,0
AL Menaria,RR,29,23,2.0,401,356,19.1,112.64,40,0,0,24,18,4,0
AM Nayar,"PWI, RR, MI, KXIP",60,50,12.0,672,577,17.68,116.46,45*,0,0,55,20,13,0
AM Rahane,"RR, MI, CSK, RPS, KKR, DC",198,183,18.0,5032,4025,30.5,125.02,105*,33,2,515,123,77,0
AM Salvi,DD,7,0,-,0,0,-,-,-,0,0,0,0,2,0
AN Ahmed,"MI, RCB",17,6,5.0,36,26,36.0,138.46,18*,0,0,4,1,2,0
AN Ghosh,KKR,2,2,0.0,7,8,3.5,87.5,7,0,0,1,0,1,0
AP Dole,RR,3,2,0.0,34,22,17.0,154.55,30,0,0,3,1,2,0
AP Majumdar,PWI,4,4,0.0,87,76,21.75,114.47,31,0,0,7,2,0,0
AP Tare,"Unknown, DD, SRH, MI",35,28,4.0,339,273,14.12,124.18,59,1,0,40,11,3,6
AR Bawne,DD,1,1,1.0,12,12,0.0,100.0,12*,0,0,1,0,0,0
AR Patel,"Unknown, DC, KXIP",163,124,37.0,1916,1430,22.02,133.99,66,3,0,130,94,72,0
AS Joseph,"GT, MI, RCB",22,7,6.0,27,32,27.0,84.38,15*,0,0,3,0,3,0
AS Rajpoot,"KKR, RR, KXIP, CSK",29,7,2.0,26,41,5.2,63.41,8,0,0,2,1,3,0
AS Raut,RR,22,16,7.0,194,167,21.56,116.17,36*,0,0,13,7,10,0
AS Roy,"Unknown, KKR, MI",11,7,3.0,26,25,6.5,104.0,13*,0,0,3,0,8,0
AS Yadav,DEC,8,6,1.0,49,39,9.8,125.64,16,0,0,5,2,1,0
AT Carey,DC,3,3,1.0,32,29,16.0,110.34,14*,0,0,0,1,2,0
AT Rayudu,"MI, CSK",204,187,32.0,4348,3409,28.05,127.54,100*,22,1,359,173,64,2
AU Rashid,"SRH, PBKS",3,2,0.0,22,16,11.0,137.5,18,0,0,2,1,0,0
AUK Pathan,RCB,8,7,2.0,39,23,7.8,169.57,14,0,0,5,2,2,0
AV Wankhade,Unknown,0,0,-,0,0,-,-,-,0,0,0,0,1,0
Abdul Basith,RR,1,1,1.0,1,1,0.0,100.0,1*,0,0,0,0,0,0
Abdul Samad,"SRH, LSG",63,52,14.0,741,488,19.5,151.84,45,0,0,45,50,31,0
Abdur Razzak,RCB,1,1,1.0,0,2,0.0,0.0,0*,0,0,0,0,0,0
Abhishek Sharma,"DD, SRH",77,74,7.0,1816,1114,27.1,163.02,141,9,1,174,101,25,0
Abishek Porel,DC,32,29,3.0,661,441,25.42,149.89,65,3,0,65,27,9,0
Akash Deep,"RCB, LSG",14,5,2.0,25,14,8.33,178.57,17,0,0,2,2,2,0
Akash Madhwal,"RR, MI",17,2,2.0,8,14,0.0,57.14,4*,0,0,0,0,1,0
Akash Singh,"LSG, RR, CSK",10,0,-,0,0,-,-,-,0,0,0,0,1,0
Aman Hakim Khan,"KKR, DC",12,10,1.0,115,104,12.78,110.58,51,1,0,8,6,9,0
Anand Rajan,"SRH, DEC",8,0,-,0,0,-,-,-,0,0,0,0,3,0
Aniket Verma,SRH,14,12,3.0,236,142,26.22,166.2,74,1,0,12,20,6,0
Anirudh Singh,DEC,5,4,0.0,63,66,15.75,95.45,40,0,0,6,1,3,0
Ankit Sharma,"SRH, RPS, RR, DEC",22,10,3.0,87,67,12.43,129.85,30,0,0,7,4,4,0
Ankit Soni,GL,7,3,1.0,7,9,3.5,77.78,7*,0,0,0,1,1,0
Anmolpreet Singh,"Unknown, SRH, MI",9,9,0.0,139,115,15.44,120.87,36,0,0,19,3,2,0
Anuj Rawat,"RR, RCB",24,21,5.0,318,267,19.88,119.1,66,1,0,26,14,18,0
Anureet Singh,"KKR, RR, KXIP",23,8,4.0,36,47,9.0,76.6,15,0,0,2,1,5,0
Arjun Tendulkar,MI,5,1,0.0,13,9,13.0,144.44,13,0,0,0,1,0,0
Arshad Khan,"GT, MI, LSG",18,11,6.0,119,84,23.8,141.67,58*,1,0,5,9,6,0
Arshad Khan (2),LSG,1,1,0.0,5,4,5.0,125.0,5,0,0,1,0,0,0
Arshdeep Singh,"KXIP, PBKS",83,14,8.0,31,46,5.17,67.39,10*,0,0,4,0,12,0
Ashok Sharma,Unknown,0,0,-,0,0,-,-,-,0,0,0,0,1,0
Ashutosh Sharma,"DC, PBKS",24,18,4.0,393,240,28.07,163.75,66*,2,0,24,28,4,0
Ashwani Kumar,MI,7,0,-,0,0,-,-,-,0,0,0,0,2,0
Atharva Taide,"SRH, PBKS",10,10,0.0,260,177,26.0,146.89,66,2,0,30,8,5,0
Avesh Khan,"DD, RR, LSG, DC, RCB",75,14,11.0,62,37,20.67,167.57,19*,0,0,6,4,11,0
Azhar Mahmood,"KKR, KXIP",23,21,2.0,388,303,20.42,128.05,80,2,0,39,13,7,0
Azmatullah Omarzai,"GT, PBKS",17,9,1.0,99,74,12.38,133.78,21*,0,0,8,5,0,0
