player,team,matches,innings,balls_bowled,runs_conceded,wickets,bowling_average,economy_rate,strike_rate,3w_hauls,4w_hauls,5w_hauls,best_bowling
A Ashish Reddy,"SRH, DEC",31,20,262,396,18,22.0,9.07,14.56,1,0,0,BB: 3/25
A Badoni,LSG,56,7,35,49,4,12.25,8.4,8.75,0,0,0,BB: 2/4
A Chandila,RR,12,12,234,242,11,22.0,6.21,21.27,0,1,0,BB: 4/13
A Chopra,KKR,7,0,0,0,0,-,0.0,-,0,0,0,-
A Choudhary,RCB,5,5,101,144,5,28.8,8.55,20.2,0,0,0,BB: 2/17
A Dananjaya,MI,1,1,24,47,0,0.0,11.75,0.0,0,0,0,
A Flintoff,CSK,3,3,66,105,2,52.5,9.55,33.0,0,0,0,BB: 1/11
A Kamboj,"MI, CSK",11,11,189,286,10,28.6,9.08,18.9,1,0,0,BB: 3/13
A Kumble,RCB,42,42,965,1058,45,23.51,6.58,21.44,2,2,1,BB: 5/5
A Manohar,"SRH, GT",27,0,0,0,0,-,0.0,-,0,0,0,-
A Mhatre,CSK,7,0,0,0,0,-,0.0,-,0,0,0,-
A Mishra,"DD, DEC, LSG, SRH, DC",162,162,3371,4145,174,23.82,7.38,19.37,12,4,1,BB: 5/17
A Mithun,RCB,16,16,288,472,7,67.43,9.83,41.14,0,0,0,BB: 2/37
A Mukund,"RCB, CSK",3,0,0,0,0,-,0.0,-,0,0,0,-
A Nehra,"DD, PWI, MI, CSK, SRH",88,88,1908,2495,106,23.54,7.85,18.0,13,1,0,BB: 4/10
A Nel,MI,1,1,18,31,1,31.0,10.33,18.0,0,0,0,BB: 1/31
A Nortje,"KKR, DC",48,48,1096,1657,61,27.16,9.07,17.97,4,0,0,BB: 3/33
A Raghuvanshi,KKR,22,0,0,0,0,-,0.0,-,0,0,0,-
A Singh,RR,23,23,473,620,28,22.14,7.86,16.89,2,1,0,BB: 4/19
A Symonds,"DEC, MI",39,30,527,674,20,33.7,7.67,26.35,1,0,0,BB: 3/21
A Tomar,KKR,1,0,0,0,0,-,0.0,-,0,0,0,-
A Uniyal,RR,2,2,36,66,2,33.0,11.0,18.0,0,0,0,BB: 2/41
A Zampa,"SRH, RPS, RR, RCB",22,22,467,652,31,21.03,8.38,15.06,2,0,1,BB: 6/19
AA Bilakhia,DEC,7,0,0,0,0,-,0.0,-,0,0,0,-
AA Chavan,RR,13,13,248,326,8,40.75,7.89,31.0,0,0,0,BB: 2/23
AA Jhunjhunwala,"DEC, PWI, RR",21,10,85,129,1,129.0,9.11,85.0,0,0,0,BB: 1/13
AA Kazi,RCB,1,1,12,21,0,0.0,10.5,0.0,0,0,0,
